metric,korea,united_states,unit,korea_vs_us_percent,source
2024 notable AI models,1,40,models,2.50,Stanford AI Index 2025
2024 private AI investment,1.33,109.08,USD billion,1.22,Stanford AI Index 2025
2025-06 TOP500 aggregate Rmax share,2.335,48.41,percent,4.82,TOP500 June 2025
